35356,HC19AJ46,"BASE PRO MATTE FOUNDATION - GLM681",0,visible,0
35357,HC19AJ47,"BASE PRO MATTE FOUNDATION - GLM682",1,visible,3
35358,HC19AJ48,"BASE PRO MATTE FOUNDATION - GLM683",0,visible,1
35359,HC19AJ49,"BASE PRO MATTE FOUNDATION - GLM684",1,visible,0
35361,HC19AJ50,"BASE PRO MATTE FOUNDATION - GLM677",0,visible,6
35404,,"SOMBRA ELSA",1,visible,39
35414,HC19AJ52,"ESSENTIAL BRUSH COLLECTION",1,visible,
35415,HC19AJ53,"ESSENTIAL BRUSH COLLECTION - CBR51",0,visible,0
35416,HC19AJ54,"ESSENTIAL BRUSH COLLECTION - CBR52",0,visible,
35417,HC19AJ55,"ESSENTIAL BRUSH COLLECTION - CBR53",0,visible,
35418,HC19AJ56,"ESSENTIAL BRUSH COLLECTION - CBR54",0,visible,
35419,HC19AJ57,"ESSENTIAL BRUSH COLLECTION - CBR55",0,visible,
35420,HC19AJ58,"ESSENTIAL BRUSH COLLECTION - CBR56",1,visible,3
35421,HC19AJ59,"ESSENTIAL BRUSH COLLECTION - CBR57",0,visible,
35422,HC19AJ60,"ESSENTIAL BRUSH COLLECTION - CBR58",1,visible,0
35423,HC19AJ61,"ESSENTIAL BRUSH COLLECTION - CBR59",1,visible,12
35424,HC19AJ62,"ESSENTIAL BRUSH COLLECTION - CBR60",0,visible,
35425,HC19AJ63,"ESSENTIAL BRUSH COLLECTION - CBR61",1,visible,9
35426,HC19AJ64,"ESSENTIAL BRUSH COLLECTION - CBR62",1,visible,10
35427,HC19AJ65,"ESSENTIAL BRUSH COLLECTION - CBR63",1,visible,8
35428,HC19AJ66,"ESSENTIAL BRUSH COLLECTION - CBR64",1,visible,6
35429,HC19AJ67,"ESSENTIAL BRUSH COLLECTION - CBR65",1,visible,6
35430,HC19AJ68,"ESSENTIAL BRUSH COLLECTION - CBR66",1,visible,12
35471,HC19AJ69,"PORELESS FACE PRIMER BEAUTY CREATIONS",1,visible,45
35475,HC19AJ70,"CORRECTOR PRO CONCEALER",1,visible,
35476,HC19AJ71,"CORRECTOR PRO CONCEALER - GC990",1,visible,1
35477,HC19AJ72,"CORRECTOR PRO CONCEALER - GC991",1,visible,11
35478,HC19AJ73,"CORRECTOR PRO CONCEALER - GC992",1,visible,3
35479,HC19AJ74,"CORRECTOR PRO CONCEALER - GC993",0,visible,
35480,HC19AJ75,"CORRECTOR PRO CONCEALER - GC994",0,visible,
35481,HC19AJ76,"CORRECTOR PRO CONCEALER - GC995",0,visible,
35482,HC19AJ77,"CORRECTOR PRO CONCEALER - GC996",0,visible,
35503,HC19AJ78,"FIJADOR CONTROL MATTE",1,visible,14
35513,HC19AJ80,"POMADA DE CEJAS",1,visible,
35514,HC19AJ81,"POMADA DE CEJAS - GBP361",0,visible,0
35515,HC19AJ82,"POMADA DE CEJAS - GBP362",0,visible,0
35516,HC19AJ83,"POMADA DE CEJAS - GBP363",1,visible,10
35517,HC19AJ84,"POMADA DE CEJAS - GBP364",1,visible,11
35518,HC19AJ85,"POMADA DE CEJAS - GBP365",1,visible,12
35519,HC19AJ86,"POMADA DE CEJAS - GBP366",0,visible,0
35528,HC19AJ87,"LAVABROCHAS EN SECO",'-1,visible,8
35538,HC19AJ88,"COMBO PLANCHA + RIZADOR",'-1,visible,
35540,HC19AJ89,"COMBO PLANCHA + RIZADOR - ROSA",1,visible,
35541,HC19AJ90,"COMBO PLANCHA + RIZADOR - VERDE MENTA",1,visible,
35542,HC19AJ91,"COMBO PLANCHA + RIZADOR - MORADO",1,visible,
35719,,"BROCHAS BH ROSE ROMANCE BH COSMETICS",1,visible,134
35724,HC19AJ93,"BROCHAS BH CRYSTAL QUARTZ BH COSMETICS",'-1,visible,224
35784,HC19AJ94,"Mascarilla Colageno Para Ojos",1,visible,3915
35792,,"Brocha para Mascarilla Fucsia",1,visible,478
35821,HC19AJ96,"COMBO AMOR #1",'-1,visible,
36613,HC19AJ153,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - FAIR",0,visible,
36614,HC19AJ154,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - GOLDEN",0,visible,
36615,HC19AJ155,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HAZELNUT",0,visible,
36616,HC19AJ156,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HONEY",0,visible,5
36617,HC19AJ157,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY",0,visible,
36618,HC19AJ158,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT",0,visible,
36619,HC19AJ159,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM",1,visible,0
36620,HC19AJ160,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER",1,visible,0
36621,HC19AJ161,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND",0,visible,
36622,HC19AJ162,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN",0,visible,
37048,HC19AJ163,"COMBO DIAMANTE ARCOIRIS",'-1,visible,
37050,HC19AJ164,"COMBO DIAMANTE AZUL",'-1,visible,
37053,HC19AJ165,"COMBO FACIAL ROSA",'-1,visible,
37058,HC19AJ166,"COMBO SUGAR",'-1,visible,
37324,HC19AJ167,"Iluminador Bronceador Shimmer Powder",1,visible,
37329,HC19AJ168,"Iluminador Bronceador Shimmer Powder - BRONCER",1,visible,21
37330,HC19AJ169,"Iluminador Bronceador Shimmer Powder - DORADO",1,visible,20
37331,HC19AJ170,"Iluminador Bronceador Shimmer Powder - ORO ROSA",1,visible,21
37445,HC19AJ171,"MAGIC BRA",1,visible,
37463,HC19AJ172,"MAGIC BRA - BEIGE, A",0,visible,
37464,HC19AJ173,"MAGIC BRA - BEIGE, B",1,visible,
37465,HC19AJ174,"MAGIC BRA - BEIGE, C",1,visible,
37466,HC19AJ175,"MAGIC BRA - BEIGE, D",1,visible,
37467,HC19AJ176,"MAGIC BRA - NEGRO, A",0,visible,
37468,HC19AJ177,"MAGIC BRA - NEGRO, B",1,visible,
37469,HC19AJ178,"MAGIC BRA - NEGRO, C",1,visible,
37470,HC19AJ179,"MAGIC BRA - NEGRO, D",1,visible,
37477,HC19AJ180,"Depilador Facial - Recargable",1,visible,
37487,HC19AJ181,"Depilador Facial - Recargable - BLANCO",1,visible,233
37488,HC19AJ182,"Depilador Facial - Recargable - ROSADO",1,visible,0
37489,HC19AJ183,"Depilador Facial - Recargable - NEGRO",0,visible,
37490,HC19AJ184,"Depilador Facial - Recargable - ROJO",0,visible,
37492,HC19AJ185,"Depilador Facial - Pilas",1,visible,
37493,HC19AJ186,"Depilador Facial - Pilas - BLANCO",1,visible,232
37494,HC19AJ187,"Depilador Facial - Pilas - ROSADO",0,visible,
37495,HC19AJ188,"Depilador Facial - Pilas - NEGRO",0,visible,
37496,HC19AJ189,"Depilador Facial - Pilas - ROJO",0,visible,
37878,HC19AJ190,"COMBO MASCARA",'-1,visible,
37882,HC19AJ191,"COMBO BARELYNUDE",'-1,visible,
37888,HC19AJ192,"COMBO SHIMMER",'-1,visible,
37890,HC19AJ193,"COMBO CUIDADO FACIAL",'-1,visible,
39246,HC19AJ194,"COMBO NEGRO",'-1,visible,
39248,HC19AJ195,"COMBO WAX",'-1,visible,
39251,HC19AJ196,"COMBO SHINY",'-1,visible,
39257,HC19AJ197,"COMBO COLOSSAL",'-1,visible,
39261,HC19AJ198,"COMBO CARACOL",'-1,visible,
39267,HC19AJ199,"COMBO BH",'-1,visible,
39317,HC19AJ200,"EXTRACTOR DE PUNTOS NEGROS DIGITAL",1,visible,
39396,HC19AJ201,"PESTA?INA LASH SENSATIONAL",'-1,visible,0
39434,HC19AJ202,"BEAUTY BLENDER SNAPCHIC",'-1,visible,
78324,HC19AJ304,"COMBO LUNAR",'-1,visible,
78332,HC19AJ305,"COMBO CONCHA GOLD",'-1,visible,
78339,HC19AJ306,"COMBO FLORAL REMINGTON",'-1,visible,
78342,HC19AJ307,"COMBO SIRENA PLUS",'-1,visible,
78686,,"SOMBRAS MERFANTASIA- Book 8",1,visible,2
78706,,"SOMBRAS Whatever Forever",1,visible,16
78719,HC19AJ310,"Unicorn Fantasies - Highlight Palette",1,visible,16
78740,,"SOMBRA The Lingerie Collection - Naughty Nights (Brights)",1,visible,2
78747,,"SOMBRA THE LINGERIE COLLECTION - ROMANTIC NIGHTS (NUDES)",1,visible,50
78776,,"SOMBRAS WONDERLAND",1,visible,34
78794,HC19AJ314,"MYSTERIOUS II",1,visible,11
78815,,"SOMBRA PERFECT BLOOM",1,visible,24
79003,HC19AJ316,"TAKE ME HOME-OKALAN",'-1,visible,31
80857,HC19AJ317,"COMBO TAKE ME HOME",'-1,visible,
80860,HC19AJ318,"COMBO SKIN PRO",'-1,visible,
80862,HC19AJ319,"COMBO MERFANTASIA REAL",'-1,visible,
80865,HC19AJ320,"COMBO FANTASTIQUE",'-1,visible,
82080,,"SOMBRAS TEASE ME",1,visible,104
85407,,"BROCHAS BH Smoke `n Mirrors",1,visible,2
88424,HC19AJ323,"MASAJEADOR FACIAL 5 EN 1",1,visible,
88659,,"SOMBRAS TAKE ME HOME",1,visible,15
89308,HC19AJ325,"Luna Mini 2",1,visible,
89309,HC19AJ326,"Luna Mini 2 - ROSADO",1,visible,377
89310,HC19AJ327,"Luna Mini 2 - FUCSIA",1,visible,21
89311,HC19AJ328,"Luna Mini 2 - AZUL",1,visible,12
90291,HC19AJ329,"COMBO DUAL CHIC",'-1,visible,
90293,HC19AJ330,"COMBO EXRACTODEPILADOR",'-1,visible,
90298,HC19AJ331,"COMBO HYDRODEPILADOR",'-1,visible,
90301,HC19AJ332,"COMBO LUNA ROSE",'-1,visible,
91613,HC19AJ333,"SET REAL",'-1,visible,0
91618,HC19AJ334,"COMBO BEAUTY CARE",'-1,visible,
91624,HC19AJ335,"COMBO ALMEJA",'-1,visible,
91626,HC19AJ336,"COMBO FACIAL LUNAR",'-1,visible,
91629,HC19AJ337,"COMBO EXTRACTOLUNAR",'-1,visible,
91631,HC19AJ338,"COMBO SIRENITA",'-1,visible,
91634,HC19AJ339,"COMBO MIX",'-1,visible,
93485,HC19AJ340,"Luna Mini 2 - NEGRO",0,visible,0
93486,HC19AJ341,"Luna Mini 2 - AMARILLO",0,visible,0
94744,HC19AJ342,"COMBO DEPILADOR BLACK",'-1,visible,
94746,HC19AJ343,"COMBO DEPILADOR TOP",'-1,visible,
94748,HC19AJ344,"COMBO LUNA GOLD",'-1,visible,
94751,HC19AJ345,"COMBO RETURN HD",'-1,visible,
95703,HC19AJ346,"MASCARILLA DE COLAGENO PARA EL ROSTRO",1,visible,401
95723,HC19AJ347,"MASCARILLA ORO DEAR SHE",1,visible,699
96005,HC19AJ348,"SECADOR REMIGTON CERAMIC ALMOND OIL",1,visible,2
96017,HC19AJ349,"SECADOR REMINGTON KERATIN THERAPHY",1,visible,1
96040,HC19AJ350,"SECADOR REMINGTON POWER VOLUME 2000",1,visible,1
96048,HC19AJ351,"PLANCHA REMINGTON PRO-SLEEK & CURL",1,visible,1
96075,HC19AJ352,"PLANCHA REMINGTON FRIZZ THERAPY",1,visible,1
96094,,"SOMBRA ETERNAL FLAME",1,visible,45
122740,,"SOMBRA SWEET PARADISE",1,visible,14
122746,,"SOMBRA IRRESISTIBLE",1,visible,45
122756,,"Bubblelicious (EXFOLIANTE PARA LABIOS)",1,visible,14
122761,,"WISHES DO COME TRU GLOW (PRIMER OIL)",1,visible,8
124592,,"SOMBRA C’ESTE LA VIE",1,visible,17
124665,,"SOMBRA GILTTER UNICORN DREAM",1,visible,18
124670,,"COCONUT LIP MASK (balsamo para labios)",1,visible,13
124685,,"CRYSTAL LIP GLAZE (gloss)",1,visible,16
124687,,"ILUMINADORES ISLAND PARADISE",1,visible,14
124707,,"SOMBRA CRYPTIC",1,visible,8
124783,,"PEGANTE PARA PESTAÑAS DUO",1,visible,0
124951,,"PULPO FACIAL",1,visible,
125798,,"PLANCHA REMINGTON TRIPLE INFUSION",1,visible,2
125817,,"PLANCHA REMIGTON COLOR PROTECTION",1,visible,1
128623,,"BROCHAS ROSE DREAMS",1,visible,181
